id_municipio,taxa_alfabetizacao_anterior,media_portugues_anterior,percentual_participacao_anterior,total_alunos_avaliados_anterior,populacao_anterior,pib_per_capita_anterior,meta_alfabetizacao_2025,cluster,silhouette_global
1100015,64.55,758.3304,89.37,227.0,21494.0,48680.701591141726,69.51,0,0.33899545632891714
1100023,62.3,757.0999,89.79,1222.0,96833.0,45271.91143515124,68.02,0,0.33899545632891714
1100031,69.1,767.8763,90.48,76.0,5351.0,56219.77200523266,72.53,0,0.33899545632891714
1100049,62.51,755.5645,84.44,613.0,86887.0,44292.794088874056,68.16,0,0.33899545632891714
1100056,58.53,746.4629,92.12,222.0,15890.0,63334.738829452486,65.53,0,0.33899545632891714
1100064,62.85,756.9294,86.98,147.0,15663.0,37087.33959011684,68.39,0,0.33899545632891714
1100072,58.2,747.8918,92.25,119.0,7519.0,67770.44819789866,65.31,0,0.33899545632891714
1100080,80.68,784.9056,91.06,214.0,12627.0,32782.3711095272,80.0,0,0.33899545632891714
1100098,85.33,790.8992,93.39,339.0,29414.0,34812.43625484463,80.0,0,0.33899545632891714
1100106,41.76,730.6418,94.52,431.0,39387.0,29071.368725721684,53.95,1,0.33899545632891714
1100114,62.82,755.1313,91.91,625.0,50591.0,49723.42906841138,68.37,0,0.33899545632891714
1100122,81.83,781.0863,87.62,814.0,124333.0,46845.744894758434,80.0,0,0.33899545632891714
1100130,51.4,742.3103,87.8,432.0,30707.0,34383.23509297554,60.73,1,0.33899545632891714
1100148,74.81,767.5966,93.91,216.0,15679.0,46683.58951463741,76.38,0,0.33899545632891714
1100155,72.39,765.5136,86.49,384.0,35044.0,36396.50154091999,74.74,0,0.33899545632891714
1100189,69.73,762.4062,90.35,440.0,35079.0,60558.73884660338,72.95,0,0.33899545632891714
1100205,65.06,761.5118,86.11,5417.0,460434.0,55170.10689914297,69.85,0,0.33899545632891714
1100254,62.41,754.2629,89.19,132.0,19327.0,40165.623221400114,68.1,0,0.33899545632891714
1100262,83.84,780.9739,79.03,49.0,3471.0,76392.97032555459,80.0,0,0.33899545632891714
1100288,68.81,760.7296,90.94,602.0,56406.0,40556.51881005567,72.34,0,0.33899545632891714
1100296,76.11,761.7071,97.87,92.0,7419.0,39343.172934357724,77.27,0,0.33899545632891714
1100304,65.62,760.7163,85.9,1054.0,95832.0,53382.847065698305,70.22,0,0.33899545632891714
1100320,67.75,761.7789,92.24,226.0,20746.0,74674.2504579196,71.63,0,0.33899545632891714
1100338,63.02,754.3625,87.07,384.0,25444.0,41682.36126395221,68.5,0,0.33899545632891714
1100346,29.2,720.6329,88.42,84.0,13117.0,37098.87931691698,44.11,1,0.33899545632891714
1100379,69.52,765.8156,90.53,172.0,11479.0,50102.709295234774,72.81,0,0.33899545632891714
1100403,61.53,760.2893,83.65,133.0,16320.0,40926.654411764706,67.51,0,0.33899545632891714
1100452,49.82,741.7757,88.01,433.0,27992.0,43619.89139754215,59.65,1,0.33899545632891714
1100502,72.53,766.0655,91.15,103.0,7667.0,43296.987087517926,74.83,0,0.33899545632891714
1100601,54.63,738.6521,89.29,75.0,4150.0,57587.71084337348,62.92,1,0.33899545632891714
1100700,59.32,751.27,89.82,150.0,8844.0,51475.689733152416,66.05,0,0.33899545632891714
1100809,48.96,744.0355,85.83,327.0,22310.0,44895.11429852084,59.06,1,0.33899545632891714
1100908,70.14,772.4724,96.67,58.0,3233.0,42868.54314877822,73.22,0,0.33899545632891714
1100924,80.72,783.8009,86.17,162.0,9324.0,72285.49978549978,80.0,0,0.33899545632891714
1100940,77.47,771.8271,92.5,259.0,14863.0,39167.59738949068,78.22,0,0.33899545632891714
1101005,65.11,757.8076,90.65,126.0,8001.0,40010.373703287085,69.88,0,0.33899545632891714
1101104,98.79,817.1203,88.34,144.0,8548.0,39794.33785680861,80.0,0,0.33899545632891714
1101203,72.5,785.6432,95.7,89.0,6466.0,68091.86514073616,74.81,0,0.33899545632891714
1101302,59.21,753.8327,86.36,152.0,9235.0,41167.19003789929,65.98,0,0.33899545632891714
1101401,72.19,764.7564,90.53,220.0,11548.0,45634.741946657436,74.6,0,0.33899545632891714
1101435,60.65,752.4314,90.0,81.0,6200.0,31218.870967741936,66.93,0,0.33899545632891714
1101450,61.04,750.4609,82.09,55.0,4125.0,48850.90909090909,67.19,1,0.33899545632891714
1101468,54.77,747.11,92.5,37.0,2156.0,164742.5788497217,63.01,0,0.33899545632891714
1101476,86.09,787.0699,96.23,51.0,3076.0,42650.52015604681,80.0,0,0.33899545632891714
1101484,53.34,748.6658,90.48,76.0,5258.0,33835.29859262077,62.05,1,0.33899545632891714
