variavel,nulos,percentual_nulos
total_alunos_avaliados_anterior,30643,19.03552038166706
percentual_participacao_anterior,4145,2.574886009268347
meta_alfabetizacao_2025,2196,1.3641615624495274
media_portugues_anterior,766,0.47584141932437973
taxa_alfabetizacao_anterior,766,0.47584141932437973
ano,0,0.0
codigo_uf,0,0.0
sigla_uf,0,0.0
id_municipio,0,0.0
regiao,0,0.0
rede_nome,0,0.0
populacao_anterior,0,0.0
pib_per_capita_anterior,0,0.0
peso_aluno,0,0.0
alfabetizado_bool,0,0.0
proficiencia,0,0.0
nao_alfabetizado,0,0.0
