id_municipio,risco_observado,risco_previsto,codigo_uf,regiao,meta_alfabetizacao_2025,taxa_alfabetizacao_anterior,n_estudantes_teste,taxa_alfabetizacao_prevista,risco_ic95_inferior,risco_ic95_superior,deficit_para_meta_pp,amostra_suficiente,nome_municipio
2902252,0.8333333333333334,0.8431021048987904,29,Nordeste,32.22,16.86,6,15.689789510120955,0.552077913272385,1.0,16.530210489879046,False,Arataca
2909208,0.6,0.8284079762268608,29,Nordeste,43.69,28.7,10,17.15920237731392,0.5947251720798592,1.0,26.530797622686077,False,Coronel João Sá
2907400,1.0,0.8208753550879093,29,Nordeste,24.3,10.48,2,17.912464491209068,0.2894315446245289,1.0,6.387535508790933,False,Catolândia
2930105,0.7758620689655172,0.813327987425385,29,Nordeste,35.5,19.93,58,18.667201257461496,0.7130479383101481,0.913608036540622,16.832798742538504,True,Senhor do Bonfim
2919603,0.5,0.8100750993338648,29,Nordeste,34.07,18.56,8,18.99249006661352,0.5382655733461987,1.0,15.07750993338648,False,Macajuba
2920908,0.7857142857142857,0.8067053672708452,29,Nordeste,37.88,22.32,14,19.329463272915483,0.5998535102006631,1.0,18.55053672708452,False,Mascote
2924009,0.6767676767676768,0.8062530446785805,29,Nordeste,40.21,24.79,99,19.37469553214195,0.7283971318291248,0.8841089575280362,20.83530446785805,True,Paulo Afonso
2803609,0.8333333333333334,0.799755482846776,28,Nordeste,31.57,16.28,18,20.0244517153224,0.6148802437479204,0.9846307219456316,11.5455482846776,False,Laranjeiras
4302600,1.0,0.7987025746568431,43,Sul,52.66,40.0,1,20.129742534315685,0.012801787721506086,1.0,32.530257465684315,False,Braga
2400604,0.6666666666666666,0.7977047773091727,24,Nordeste,25.17,11.11,3,20.229522269082732,0.34312579305989177,1.0,4.940477730917269,False,Almino Afonso
2916609,0.16666666666666666,0.7966712510776731,29,Nordeste,45.64,31.02,6,20.332874892232688,0.47462413599442793,1.0,25.307125107767312,False,Itapitanga
