sigla_uf,n_estudantes,n_municipios,risco_observado
BA,10493,407,0.6413799675974459
SE,1610,74,0.6229813664596273
RN,1985,159,0.5959697732997481
RS,6153,422,0.5468876970583455
PA,7721,144,0.5290765444890558
AM,3454,62,0.5286624203821656
AL,3092,101,0.5090556274256145
AP,829,16,0.5018094089264173
AC,542,22,0.48154981549815495
TO,1673,135,0.4698147041243276
RJ,12409,92,0.4479007172213716
SP,30059,615,0.43820486376792306
MS,3673,79,0.430438333787095
PB,2969,216,0.4260693836308521
MA,6244,217,0.395900064061499
MT,4358,139,0.3935291418081689
PI,3135,220,0.39202551834130783
PE,7528,184,0.39147183846971306
RO,1823,52,0.3746571585298958
SC,5356,282,0.351008215085885
PR,11936,394,0.2887064343163539
MG,14259,815,0.2812258924188232
ES,4025,78,0.2745341614906832
GO,6878,241,0.2603954637976156
CE,8774,184,0.15260998404376566
